epoch,accuracy,loss,val_accuracy,val_loss
0,0.7289999723434448,0.7722260355949402,0.7387499809265137,0.5514516234397888
1,0.8240000009536743,0.4041842520236969,0.8837500214576721,0.2935238182544708
2,0.8769999742507935,0.2953663766384125,0.8500000238418579,0.35031458735466003
3,0.8999999761581421,0.25316449999809265,0.9087499976158142,0.2521105110645294
4,0.9160000085830688,0.2344348430633545,0.8450000286102295,0.3460400104522705
5,0.9290000200271606,0.18950408697128296,0.9100000262260437,0.26402410864830017
6,0.9409999847412109,0.1431768834590912,0.9087499976158142,0.2944943308830261
7,0.9440000057220459,0.14160260558128357,0.8675000071525574,0.3739704191684723
8,0.9639999866485596,0.08874694257974625,0.9075000286102295,0.3296741247177124
9,0.9589999914169312,0.11320056766271591,0.9100000262260437,0.321501225233078
